CustomerID,Recency,Frequency,Monetary,WillPurchaseNext,Monetary_log
12916,98,3,1647.87,1,7.40784548379393
12917,56,5,3765.2,1,8.233821814551542
12918,282,1,10953.5,0,9.301505609728274
12920,227,3,323.86,1,5.78339432029125
12921,22,39,19333.95,1,9.869669618054086
12923,46,2,612.9,1,6.419832048433451
12924,49,8,1535.7,1,7.337392539061287
12925,248,1,35.28,1,3.591266625246936
12926,67,4,1548.46,0,7.345661762115635
12927,50,1,197.31,0,5.289831462897738
12928,34,7,2242.19,1,7.715654238913073
12931,36,42,50291.38,1,10.825608853558224
12932,195,8,1698.56,0,7.438124673014305
12933,36,5,1079.5,1,6.985179175946941
12934,392,1,181.65,0,5.207571753241291
12935,31,8,2083.16,1,7.642121175358037
12937,119,5,1593.34,1,7.374215136479505
12939,35,12,13683.0,1,9.523982546097495
12941,380,1,377.49,0,5.936189652449227
12942,21,1,258.75,1,5.5597196299793366
12943,214,2,496.5,0,6.209595556598647
12945,312,1,437.16,1,6.082584140475466
12946,92,1,324.45,0,5.785208840018396
12947,29,1,304.04,1,5.720442915549309
12948,386,2,252.48,1,5.535284924455317
12949,38,14,11359.48,1,9.337895944903615
12951,42,9,2149.65,1,7.6735254010119345
12953,178,1,498.96,1,6.214528095222021
12954,294,1,162.45,0,5.09650713317022
12956,340,3,413.82,1,6.027844691200732
12957,197,5,4689.43,1,8.453279541672533
12958,56,2,539.49,0,6.2924761355205066
12959,140,1,150.95,0,5.023551519362802
12960,69,4,1322.0700000000002,0,7.187710072768178
12961,35,1,211.99,0,5.361245216250509
12963,21,5,1744.96,1,7.465059826629675
12964,93,1,132.24,0,4.892152013325479
12967,27,2,2646.02,1,7.881189757922018
12969,258,1,122.45,0,4.8158362157911885
12970,36,6,1072.73,1,6.978893846815331
12971,22,33,4782.88,1,8.473007211703829
12972,69,4,1161.2,0,7.058070039641005
12973,69,1,385.55,0,5.957261225766484
12974,221,1,264.15,1,5.580295703583139
12975,92,6,2100.09,0,7.650211536671941
12976,34,7,2417.78,1,7.791018559801949
12977,157,3,478.39,1,6.172514462375131
12978,41,5,2502.82,0,7.825572844652115
12980,42,12,8870.880000000001,1,9.090642003239902
12982,50,7,2354.27,1,7.764410649560275
12983,254,1,490.08,0,6.196607047312639
12986,84,10,2729.84,0,7.912364533159128
12987,76,3,753.51,1,6.626068531930543
12989,80,18,6627.64,1,8.799154933933112
12990,73,4,546.0,1,6.304448802421981
12991,45,1,261.06,1,5.568573485176439
12992,381,1,93.35,0,4.547011271814559
12993,101,4,844.87,1,6.740365683496054
12996,31,1,355.5,0,5.8763342398543505
12997,50,4,884.02,1,6.785610243622635
12998,148,3,920.08,0,6.825546894589419
13000,381,1,497.65,1,6.211904446847877
13001,60,20,14353.28,1,9.571803434557461
13002,72,2,293.18,1,5.684191824891197
13004,42,18,5994.94,1,8.698837852501308
13005,87,2,485.98,1,6.188223054477479
13007,235,1,175.25,0,5.171903441692378
13008,53,2,382.66,1,5.949756743708192
13009,328,1,234.0,0,5.459585514144159
13010,30,2,330.12,0,5.802480847440477
13011,28,1,50.55,1,3.942552210462969
13012,85,3,1310.99,1,7.179300347523768
13013,27,18,7814.83,1,8.963906443230194
13014,88,1,1914.8,1,7.557890568948792
13015,94,6,3240.14,1,8.08368039875288
13018,69,7,2485.46,1,7.818615291156305
13019,35,6,1229.95,0,7.115541507975305
13020,218,2,618.96,0,6.42965495982885
13021,30,8,2270.86,1,7.7283541582241595
13023,184,1,759.13,1,6.633489471284123
13024,126,2,555.87,0,6.32233181950912
13025,387,1,323.39,0,5.781946495625555
13026,144,4,757.72,1,6.631632802877041
13027,41,13,10423.2,1,9.251885305113332
13029,30,2,679.8,1,6.523268577259164
13030,24,1,427.74,1,6.06085067459299
13031,63,5,3419.27,0,8.137474774308892
13032,48,7,1833.37,1,7.514456377288726
13033,85,1,30.0,1,3.4339872044851463
13034,25,2,279.91,1,5.638034333334139
13035,87,1,442.32,1,6.094291856907453
13036,340,1,307.1,0,5.730424405602622
13037,55,9,3033.88,1,8.017927163996932
13039,240,4,1010.73,0,6.919417015831408
13041,106,4,799.13,0,6.684774214466232
13042,254,3,1556.54,0,7.350862932514812
13044,148,10,4293.43,1,8.365074113154934
13045,57,2,503.64,1,6.223845303774674
13046,112,1,319.94,1,5.771254189771214
13047,29,17,5557.62,1,8.623105154998704
13048,92,5,2248.3,1,7.718374335682253
13049,45,2,751.5600000000001,1,6.623480727663696
13050,22,19,6507.67,1,8.780890413255038
13051,234,2,155.8,0,5.054971107916307
13052,76,6,2820.38,1,7.9449814059358985
13053,277,1,127.65,0,4.857095538727753
13055,85,1,1106.7,1,7.010041072522887
13056,207,1,209.48,0,5.349390636732037
13057,186,3,722.09,0,6.583533695739408
13059,69,9,2119.77,1,7.659534509269334
13063,136,1,188.4,0,5.243861180751978
13064,206,2,561.25,1,6.331946590839425
13065,29,5,1055.05,1,6.962290811630151
13067,65,2,393.05,1,5.976477804799659
13069,25,16,5247.01,1,8.565604236109914
13070,115,3,522.9,1,6.261300826414174
13071,268,1,129.22,0,4.869225327808716
13073,67,2,418.08,0,6.038061832484764
13074,167,4,1378.74,0,7.229650354603547
13076,113,1,135.4,0,4.915591745409362
13077,22,8,2335.4,1,7.756366562166154
13078,22,32,16904.51,1,9.735394883276099
13079,73,1,199.08,1,5.298717286569364
13080,57,3,222.65,1,5.410082329878857
13081,27,19,30867.77,1,10.337500272193159
13082,80,12,3722.12,1,8.222317305424186
13083,81,1,91.68,1,4.529152699564175
13084,147,1,122.4,0,4.8154311114712876
13085,335,6,2017.2,1,7.609961304030429
13086,38,1,439.33,0,6.087524445802853
13087,382,1,313.64,0,5.751429128123554
13088,73,1,236.11,0,5.468524168478886
13089,24,109,57912.03,1,10.966697681420563
13090,21,13,5192.27,1,8.555118835560318
13091,385,2,1976.0,1,7.589335823170617
13092,70,7,1662.45,1,7.416649037898301
13093,29,48,47111.18,1,10.760286845299737
13094,24,2,505.80000000000007,1,6.228116448446984
13096,50,1,419.7000000000001,0,6.041919990596475
13097,44,18,7378.8,1,8.906501816956297
13101,154,3,594.21,1,6.388914284453015
13102,21,14,5272.83,1,8.570512132794931
13103,93,2,465.7000000000001,1,6.14568665295577
13104,71,3,610.62,1,6.416111174632075
13105,92,1,72.0,0,4.290459441148391
13106,69,1,526.96,1,6.269020523260754
13107,69,5,3721.45,1,8.22213733263451
13108,28,2,748.46,1,6.619352947205873
13109,207,1,347.49,1,5.853609535384296
13110,93,5,1468.8,1,7.292881616094771
13111,374,1,321.88000000000005,0,5.777280737165245
13112,197,1,20.6,0,3.0726933146901194
13113,22,14,6379.77,1,8.761044058711597
13114,386,1,234.38,0,5.461201229449516
13115,35,6,3199.92,1,8.071193547467612
13117,21,12,1658.9,1,7.414512638572174
13118,32,4,1217.6,1,7.105457937814394
13119,324,1,134.9,0,4.911919321157098
13123,128,2,506.75,0,6.229989200460494
13124,41,1,916.12,1,6.821238325199753
13125,179,1,158.57,0,5.072482697422336
13126,22,7,1898.61,1,7.549403880927271
13128,287,1,263.5,0,5.577841251298354
13129,108,2,233.25,0,5.456388921118531
13131,74,4,2240.4700000000003,1,7.714887179611216
13133,115,1,90.65,1,4.517976974285714
13134,58,2,681.65,1,6.525982283130761
13135,147,1,275.45,1,5.622029972783942
13136,31,8,3666.95,1,8.207388201876686
13137,42,8,4062.29,1,8.30974826927126
13138,28,2,504.85,1,6.2262401826519
13139,93,1,3138.04,1,8.051672299672518
13140,22,3,791.96,1,6.675772779000723
13141,41,12,5279.83,1,8.571838561315856
13143,240,1,405.1,0,6.006599434692252
13144,87,1,24.4,1,3.2347491740244907
13145,28,4,805.0,1,6.692083742506628
13148,45,14,4914.6900000000005,1,8.500187409299715
13150,140,3,449.97,0,6.111400818443195
13151,281,2,1322.87,1,7.1883145443650855
13152,73,7,2146.38,0,7.672003773368138
13154,55,3,1624.84,0,7.3937798842820515
13155,24,3,778.4200000000001,1,6.658550053340068
13156,41,3,1586.54,0,7.369940927299805
13157,65,5,3946.14,1,8.280746545011
13158,44,1,307.12,1,5.730489317484765
13161,156,1,366.13,1,5.905716008765504
13162,36,12,7587.2,1,8.934349688113986
13163,266,1,17.65,0,2.9258461460898246
13164,225,2,372.2,0,5.922114468973189
13165,69,1,429.68,1,6.065365354947517
13166,70,1,466.98,1,6.148425559961744
13167,46,1,333.82,1,5.813593073987639
13168,198,1,556.12,1,6.322780656579824
13169,218,1,127.2,1,4.853591544486569
13172,56,1,69.6,0,4.257030144499196
13173,23,10,2285.7,1,7.734865009205049
13174,25,10,6677.81,1,8.806695106948641
13175,238,2,831.45,0,6.724373159990861
13177,86,1,229.75,1,5.441334873382962
13178,53,10,8333.72,1,9.028185201339284
13179,274,1,572.3100000000001,0,6.3514265826367975
13180,263,1,86.10000000000001,0,4.467056883858457
13181,37,1,359.69,0,5.888018863654928
13183,50,6,3078.4,1,8.032490051795818
13187,280,3,130.99,1,4.882726162140863
13190,200,3,570.66,0,6.348544409056351
13191,314,1,164.69,0,5.1101185725812055
13192,191,4,1646.64,1,7.407099240004541
13194,77,1,412.08,1,6.023641278803203
13195,70,1,172.38,0,5.155485717440494
13196,99,3,1271.06,1,7.148392912598927
13197,265,1,373.0100000000001,0,5.924282535024994
13198,43,2,1572.99,1,7.361369075717014
13199,22,30,6615.77,1,8.797362614453744
13201,158,4,1240.61,0,7.124164203520231
13202,50,7,1580.3,0,7.366002572529271
13203,42,6,1778.79,1,7.484250658798145
13204,387,1,966.66,0,6.874880785908055
13205,99,1,2803.2,0,7.938873572287031
13206,56,13,8377.32,0,9.033402696050894
13207,107,2,285.6,1,5.6580875153940715
13208,105,3,764.6,1,6.640659840138745
13209,170,5,2617.9,1,7.870509661266332
13211,37,7,1531.9,1,7.334916645172062
13213,39,6,2330.94,1,7.754455818151394
13214,73,7,3264.23,0,8.091085483333597
13215,58,1,81.6,0,4.414009680526933
13217,311,1,132.5,1,4.894101477840304
13219,274,1,76.23,0,4.346787982581173
13220,231,1,516.8,1,6.249589067317437
13222,233,1,88.5,0,4.4942386252808095
13223,79,4,805.92,1,6.69322453076615
13225,77,9,9796.23,1,9.189854971643534
13226,49,1,204.25,1,5.324228748332538
13230,21,17,3553.81,1,8.176056894958146
13233,76,2,571.34,1,6.349733220385172
13234,328,2,356.95,0,5.880393311842194
13237,43,1,643.0,0,6.467698726104354
13238,86,2,305.9,1,5.72652196162569
13239,93,4,1265.13,1,7.143720283056326
13240,21,5,1074.87,1,6.9808849155788
13241,67,1,115.58,0,4.758577732617404
13242,107,4,429.0,1,6.063785208687608
13243,105,4,677.97,1,6.520576943961113
13245,88,1,558.72,1,6.327436658687513
13246,49,5,1400.13,1,7.24503433289587
13249,57,6,897.52,1,6.800748965296969
13250,116,2,256.04,0,5.549231714807603
13251,58,1,252.68,0,5.536073630230092
13252,50,2,399.3,0,5.992214265998528
13253,86,2,1920.71,1,7.5609706936507095
13254,32,1,51.41,0,3.959097412814075
13255,29,2,504.95,1,6.226437850175769
13257,92,1,149.75,0,5.015622835607295
13258,35,2,336.6,1,5.821861762721802
13259,53,8,1141.06,1,7.040588928240362
13262,45,2,373.16,1,5.924683513417631
13263,49,4,1250.62,1,7.132193991213236
13264,98,1,722.5600000000001,0,6.584183472833434
13266,69,7,2300.78,1,7.74143801564444
13267,22,18,5236.77,1,8.56365111421432
13269,25,14,3545.47,1,8.173708021562236
13270,22,1,590.0,1,6.3818160174060985
13274,65,1,360.85,0,5.891229761312137
13275,39,2,241.66,0,5.491661286623727
13276,53,3,1348.33,1,7.2073634519404095
13277,36,3,264.9,1,5.583120298248974
13278,55,3,893.12,1,6.795839994353637
13280,35,4,1507.77,1,7.319050028330509
13281,95,1,350.85,0,5.863204948412558
13282,62,1,181.05,1,5.204281374621442
13283,223,2,279.7,1,5.637286483367837
13285,256,2,655.47,1,6.486876995821337
13286,256,1,734.91,0,6.601107828643053
13287,259,3,781.59,0,6.662608931774919
13288,99,5,927.61,0,6.833688844427256
13289,379,1,307.95,0,5.733179451506989
13290,94,1,208.63,0,5.345344071975791
13291,70,10,2959.73,1,7.993191138533614
13292,71,3,415.57,1,6.032054514712074
13293,48,6,1192.94,0,7.085014041433629
13294,302,1,815.79,1,6.705382023876393
13295,32,3,900.77,1,6.8043594986338976
13296,79,5,705.11,1,6.559771032721974
13297,41,3,2278.77,1,7.731829839667058
13299,79,2,1076.2,1,6.982120360937444
13300,44,2,913.62,1,6.818508678467918
13302,182,1,95.45,1,4.569024739351738
13303,56,1,61.72,0,4.138680376042152
13304,111,3,917.57,1,6.822818112965189
13305,28,7,1753.85,1,7.4701386621617205
13306,86,1,53.65,0,4.000949214622548
13307,143,2,258.34,1,5.5581399421207385
13308,252,1,284.86,1,5.655502180480969
13309,48,1,249.58,1,5.523778230817407
13310,36,2,409.17,1,6.016571707907711
13312,107,1,124.75,0,4.8342958089798485
13313,135,7,1890.0,1,7.544861068658458
13315,345,1,310.26000000000005,0,5.7406285757768645
13316,48,6,7213.84,1,8.883895294939904
13317,41,13,4212.411,1,8.346027812407147
13319,21,34,11236.95,1,9.327051722471998
13320,90,2,679.4,1,6.522680860521707
13324,84,8,3391.52,1,8.129328287049052
13326,88,1,281.76,0,5.644598481302753
13327,21,14,6251.71,1,8.740770248753131
13329,22,7,4323.97,1,8.372160482925738
13330,111,3,1665.25,1,7.418330871492919
13331,57,1,262.4,0,5.573673789309181
13333,67,3,1015.74,0,6.924356709479563
13334,192,2,2726.93,1,7.911298358810087
13337,202,1,1575.26,0,7.362810231430298
13338,197,3,1958.6,1,7.58049564976442
13340,73,5,11364.08,1,9.33830077541717
13346,118,6,299.4,0,5.705114919889979
13357,150,4,3228.41,1,8.08005473699317
13359,59,1,603.75,1,6.404815149490137
13360,87,4,1553.65,0,7.349005718893091
13361,128,2,1450.5,0,7.280352783464685
13362,34,3,2303.33,1,7.74254524072613
13363,65,1,731.36,1,6.596272196344404
13367,87,1,510.2,0,6.236760903063325
13368,70,2,498.1,1,6.2128064764755635
13369,21,1,308.28000000000003,1,5.734247015460021
13370,27,1,754.87,1,6.62786940372116
13371,161,2,2297.66,0,7.740081623439195
13373,71,3,4274.94,1,8.360759240241064
13374,70,2,422.8,0,6.049261645834199
13375,100,1,1013.58,1,6.922230012736449
13377,52,2,1552.88,0,7.348510307868749
13380,88,1,62.4,0,4.14946386144318
13381,35,6,4585.06,1,8.430776546629255
13382,84,4,1164.59,1,7.060982675571715
13383,199,1,305.28000000000003,0,5.724499716244923
13384,46,4,2528.9,1,7.835935055248705
13386,70,2,835.46,0,6.729178700993051
13387,73,1,189.44,0,5.249337184326318
13388,259,1,508.55,1,6.233527983274703
13392,333,1,91.14,0,4.523309159507771
13393,239,4,1131.45,0,7.032138706272169
13394,35,11,4101.68,1,8.319395697687295
13395,56,2,872.51,1,6.7725195777054905
13397,93,5,1647.74,1,7.407766638812221
13398,104,1,213.0,1,5.365976015021851
13399,120,3,275.4,0,5.621849091893515
13400,238,1,310.83,0,5.742458167518031
13402,28,3,913.9,1,6.818814769685489
13403,43,2,154.5,1,5.0466457316192885
13405,137,3,641.36,1,6.46514889419329
13406,83,2,568.92,0,6.3454960001012966
13407,234,3,2244.7,0,7.7167725555844955
13408,27,46,23616.422,1,10.069739939002078
13410,49,4,1198.9,1,7.089993498970343
13412,276,1,487.35,0,6.191032361893486
13413,295,6,429.44,0,6.064807941332192
13414,119,3,1103.64,1,7.007274769014954
13415,128,4,800.67,0,6.686697051867266
13416,392,1,228.3,1,5.435031189863859
13417,203,4,1028.66,1,6.936983929642267
13418,28,15,6106.17,1,8.71721876974416
13421,62,6,2252.04,1,7.720035694380279
13423,84,1,217.03,0,5.3846326679999565
13424,105,1,572.77,0,6.352228619155015
13425,164,2,1779.42,1,7.484604570509295
13426,38,12,4526.06,1,8.417828001158599
13427,133,3,423.93,1,6.0519244494765605
13428,170,2,281.51,1,5.643713948190081
13431,62,6,2047.14,1,7.624687343198003
13432,227,2,439.1,0,6.0870019738170456
13433,157,4,658.32,0,6.491209000863155
13434,41,3,1132.62,1,7.033171331128387
13435,32,2,665.34,1,6.501800050784742
13438,203,1,46.5,0,3.8607297110405954
13439,44,2,702.9,1,6.556636300614086
13440,79,7,1295.25,0,7.167230759543737
13441,87,1,424.26,1,6.052700746578555
13442,323,3,419.87,0,6.042323997398791
13443,104,6,1280.16,0,7.155521196517061
13444,30,2,631.68,0,6.449964765095288
13445,282,1,241.9,0,5.492649836008127
13446,86,11,3881.89,0,8.264335000718507
13448,29,9,5701.5,1,8.648659954158543
13450,30,7,2076.32,1,7.638833880376638
13451,37,6,4214.77,1,8.346587534653374
13452,128,1,139.8,1,4.9473404437239425
13453,58,1,424.71,1,6.0537583632793694
13454,297,1,219.87,0,5.397574293145378
13455,22,5,1847.59,1,7.522178465316966
13457,344,2,148.22,0,5.005421727043368
13458,35,2,2312.7000000000003,1,7.746603253713636
13459,280,2,1160.41,0,7.057390063198797
13461,63,3,2715.0,1,7.906915488678587
13462,66,4,1002.35,1,6.911099680232526
13464,50,5,2422.96,1,7.793157845402886
13465,102,2,931.12,0,6.8374615617621375
13466,64,4,705.45,1,6.560252428211817
13468,24,38,7685.54,1,8.94722602626808
13469,309,1,82.4,0,4.423648309364701
13472,119,2,592.24,0,6.385599038873762
13473,230,6,2235.12,1,7.712497500097923
13474,99,2,434.2,1,6.0758056955417326
13476,62,3,823.0,1,6.714170529909472
13477,111,5,1379.59,1,7.230266223015561
13478,125,5,2215.78,0,7.703810971494357
13479,108,2,550.42,1,6.312496769241302
13480,72,2,627.82,0,6.443845047224953
13481,30,6,2026.28,1,7.614450272087351
13482,283,1,151.45,1,5.026836673434263
13484,39,2,476.92,1,6.169443354467799
13485,32,10,2564.98,1,7.8500957509129385
13487,161,2,271.47,1,5.607528516299639
13488,23,11,6619.57,1,8.79793674794346
13490,310,1,154.25,0,5.045036720813588
13491,28,18,3350.74,1,8.117234892961147
13495,24,6,3329.39,1,8.110844693233933
13497,24,5,972.28,1,6.880671810572395
13498,386,1,327.38,0,5.794171474383882
13500,57,1,299.53,1,5.705547582602867
13502,71,2,488.5,1,6.193384461970565
13503,135,5,1688.54,1,7.4322115815177625
13506,25,4,1180.68,1,7.074692433732344
13508,298,1,176.07999999999998,1,5.17660160786394
13509,163,1,135.0,1,4.912654885736052
13510,31,7,2766.73,1,7.925782768627297
13511,332,1,282.76,0,5.648128810465367
13512,43,3,462.18,1,6.138115747433675
13513,97,2,619.49,1,6.430509488479342
13514,84,3,663.7,1,6.499335811047536
13515,105,2,374.7,1,5.928790952579924
13516,73,1,295.85,1,5.693226960716684
13519,98,1,220.46,1,5.400241986269962
13523,22,2,1136.64,1,7.03671122017484
13526,394,2,1182.0,0,7.075808863978387
13527,74,5,2396.23,1,7.78206918310609
13530,290,1,402.98,0,6.001365371785244
13531,22,5,1254.72,1,7.135464392239267
13534,35,10,1850.82,1,7.523924218258032
13535,58,1,89.5,0,4.505349850705881
13537,81,2,717.85,0,6.577652712868601
13538,52,5,1831.88,1,7.5136437792482385
13539,76,4,938.02,1,6.844836778235963
13540,123,3,632.39,0,6.451086346168101
13541,83,2,785.25,0,6.667274808014651
13542,32,17,4006.17,0,8.295840535491127
13543,290,2,1439.61,0,7.272821913983301
13544,67,4,537.59,1,6.288954613550847
13545,46,2,374.64,0,5.928631237936413
13546,38,2,465.15,1,6.1445074707427025
13547,64,1,175.53,0,5.173490833601192
13548,127,1,226.58,1,5.4275018249288625
13549,43,1,87.6,1,4.484131857611035
13550,39,1,349.51,0,5.8593892367381235
13551,322,1,152.39999999999998,1,5.0330488889331555
13552,84,10,3238.85,1,8.083282311418373
13553,330,1,517.8,0,6.251518452442289
13554,36,7,1638.28,0,7.402012400028577
13555,34,9,4849.91,1,8.486921595197414
13556,85,2,200.82,0,5.307376211036383
13557,71,11,2448.2,1,7.8035167196038
13559,168,2,990.0,0,6.898714534329988
13561,53,10,1678.86,1,7.426465735591556
13562,57,5,3038.85,1,8.019563451077643
13564,24,35,15500.53,1,9.648694007713278
13565,67,1,174.57999999999998,1,5.1680947794980625
13566,90,3,833.41,1,6.726724888274383
13567,84,4,1083.69,0,6.989049510864743
13569,23,3,520.03,1,6.255807621669508
13571,38,14,2454.2200000000003,1,7.805971649248236
13573,35,4,622.07,1,6.434658872026153
13574,67,1,421.25,0,6.04559755568791
13576,29,11,4834.4,1,8.483719134558521
13577,38,7,1801.68,1,7.497029725477041
13578,65,1,147.66,0,5.001661819297148
13579,25,4,1072.0,1,6.9782137426306985
13580,62,1,107.75,0,4.689051669968793
13581,70,1,162.53,1,5.096996459744299
13582,45,2,241.68,0,5.491743703074097
13583,335,1,664.001,1,6.499788544414122
13584,154,2,250.05,1,5.5256521224807145
13585,186,3,684.54,0,6.530206848868181
13586,197,1,131.53,0,4.886809034892587
13587,105,3,961.1,1,6.869118395367219
13589,105,4,741.09,1,6.609470529612421
13590,31,12,4367.67,1,8.38221389394035
13591,91,4,976.81,1,6.885315377132544
13593,43,9,3486.61,1,8.156971966850845
13594,141,1,136.35000000000002,1,4.922532412541283
13595,172,3,818.22,0,6.708352668049725
13597,56,2,396.71,0,5.985723096478868
13598,151,4,609.42,1,6.414147244833211
13599,22,14,5013.96,1,8.520180724292443
13600,290,1,298.9,1,5.703449085754963
13601,48,2,491.82,1,6.200143995811369
13602,37,3,596.28,1,6.392386015166274
13604,314,1,717.62,0,6.5773327061874705
13605,43,2,522.67,0,6.260861714939627
13607,58,1,400.3,1,5.994709277272871
13608,196,1,236.2,0,5.468903667123571
13609,249,1,167.35,0,5.126045145607083
13610,43,7,1044.0,1,6.951772164398911
13611,30,7,2147.73,1,7.672632248916686
13612,288,1,818.29,0,6.708438111531965
13613,108,5,1039.85,0,6.947792966013668
13614,49,2,748.73,1,6.6197131417148
13615,55,7,5854.84,1,8.675194732863512
13616,224,2,288.1,0,5.666772649022301
13617,64,5,734.57,1,6.600645708864258
13619,200,2,231.69,0,5.449707095598856
13620,184,1,112.34,0,4.730392150741473
13622,352,1,658.95,0,6.492164074574964
13623,36,5,1818.71,1,7.5064324267154285
13624,44,1,462.08,0,6.137899825337528
13625,252,1,301.26,0,5.711287574141974
13626,35,1,449.81,1,6.1110459647057445
13627,144,2,607.43,1,6.41088186883415
13628,332,1,310.14,0,5.740242971658976
13629,69,8,5578.5,1,8.626854445625757
13632,50,3,1526.88,1,7.331636432611094
13634,30,11,3498.31,1,8.160321085185155
13635,98,3,1928.13,1,7.564824403066273
13639,92,1,312.93,1,5.749170031119376
13640,267,1,405.0,0,6.0063531596017325
13641,296,5,1016.47,0,6.925074432852604
13642,88,3,159.92,1,5.080907347081587
13643,38,7,1637.33,1,7.401432709323092
13646,55,2,326.25,0,5.7907244047900095
13647,150,4,1393.56,1,7.240334232316201
13648,56,8,1764.02,0,7.475917300747956
13649,22,5,1332.28,1,7.195397350633897
13650,30,4,1451.66,1,7.281151637564796
13651,37,1,132.65,1,4.895224442584928
13652,24,3,1475.77,1,7.297612549349402
13653,143,1,152.2,0,5.0317442573064906
13654,36,5,3600.67,1,8.189152905769904
13655,30,4,1347.54,1,7.20677780472792
13656,155,2,699.2,1,6.551366008520565
13658,39,4,3386.33,1,8.127797279426828
13659,72,10,3321.68,1,8.108526965192164
13660,56,1,314.59,0,5.754443902791644
13661,259,1,325.24,0,5.787633306826145
13662,41,8,1352.35,1,7.210338279122772
13663,36,4,1858.04,1,7.527815504434551
13665,42,3,1711.66,0,7.4458029964289425
13666,76,2,43.25,1,3.7898553714539385
13668,39,14,6726.35,1,8.813936585808454
13669,63,1,195.0,1,5.278114659230517
13671,50,1,194.95,0,5.27785952464564
13672,386,1,233.53,1,5.457583511473486
13674,88,1,240.68,0,5.487614537078416
13676,195,2,243.9,0,5.500849963958122
13677,60,2,556.1899999999999,0,6.32290629486736
13679,149,3,281.26,0,5.642828631985861
13680,127,8,7713.25,1,8.950824546850752
13683,113,1,258.6,0,5.559141984829935
13684,46,3,529.75,1,6.2742911005833655
13686,36,2,337.04,1,5.823164231676282
13687,94,1,11880.84,0,9.382766463078516
13688,291,1,375.5,0,5.930918047239948
13689,100,1,349.5,1,5.859360706474645
13691,52,1,212.78,0,5.3649474488457995
13692,64,2,1626.08,1,7.394542276262218
13693,30,9,2011.82,0,7.607292002863751
13694,29,94,131443.19,1,11.78633762986588
13695,233,1,266.6,1,5.589493328254074
13696,77,3,2020.4,0,7.611545619640562
13698,252,2,465.53,0,6.145322326901356
13699,206,1,455.57,1,6.123742028914818
13700,73,3,348.34,1,5.856045660000246
